Country,FrxnPeaceIn10,ODA4H2OPcptaDol,RenewResm3PcptaYr,SustAccImprWatRur,SustAccImprWatUrb,SustAccImprSanRur,SustAccImprSanUrb,TotHlthExpPctofGDP,GenGovtPctofTotHlthExp,ExtResHlthPctTotExpHlth,PCptaGovtExpHlthAvgExcRt,GDPPCptaIntDol,AdultLtrcyRate,FemaleLtrcyRate,BurdenOfDisease
Swaziland,1,2.1,4876,0.41584,0.86139,0.43564,0.77228,0.058,0.573,0.055,61,5893,0.80792,0.8,high
Sweden,1,0,19679,0.9901,0.9901,0.9901,0.9901,0.094,0.852,0.0005,2684,30336,0.9802,0.9802,low
Switzerland,1,0,7462,0.9901,0.9901,0.9901,0.9901,0.115,0.585,0.0005,2945,34087,0.9802,0.9802,low
Syrian Arab Republic,1,0.39,1622,0.63366,0.93069,0.55446,0.9604,0.051,0.482,0.002,28,2449,0.76139,0.63366,medium
Tajikistan,0.7,0.29,2625,0.46535,0.92079,0.46535,0.70297,0.044,0.208,0.149,2,1816,0.98416,0.98119,high
Thailand,0.7,0.77,6527,0.79208,0.94059,0.9901,0.9604,0.033,0.616,0.003,47,8373,0.77426,0.7,medium
Togo,1,1.04,3247,0.35644,0.79208,0.14851,0.70297,0.056,0.248,0.023,4,1123,0.60297,0.46436,high
Trinidad and Tobago,1,0.43,2968,0.87129,0.91089,0.9901,0.9901,0.039,0.378,0.014,120,14903,0.97624,0.9703,low
Tunisia,1,5.45,482,0.59406,0.93069,0.61386,0.89109,0.054,0.457,0.004,63,8162,0.73564,0.64653,medium
Turkey,0,1.44,3439,0.86139,0.9505,0.61386,0.93069,0.076,0.716,0.0005,184,7688,0.85644,0.77921,medium
Turkmenistan,1,0.03,5218,0.53465,0.92079,0.49505,0.76238,0.039,0.674,0.004,60,5947,0.97822,0.97327,medium
Uganda,0,1.46,2833,0.51485,0.86139,0.38614,0.52475,0.073,0.304,0.285,5,1088,0.69208,0.59802,awful
Ukraine,1,0,2815,0.93069,0.9901,0.9604,0.9901,0.057,0.659,0.001,40,6216,0.98713,0.98614,low
United Republic of Tanzania,1,1.4,2591,0.61386,0.91089,0.40594,0.53465,0.043,0.554,0.219,7,732,0.77426,0.7,awful
United States of America,0.6,0,7407,0.9901,0.9901,0.9901,0.9901,0.152,0.446,0.0005,2548,39901,0.9802,0.9802,low
Uzbekistan,0.8,0.19,2026,0.83168,0.9604,0.47525,0.72277,0.055,0.43,0.03,9,3125,0.98317,0.9802,low
Venezuela Bolivarian Republic of,1,0.18,51021,0.69307,0.84158,0.47525,0.70297,0.045,0.443,0.001,65,6104,0.92475,0.92178,medium
Viet Nam,1,1.85,11406,0.66337,0.92079,0.25743,0.83168,0.054,0.278,0.026,7,3298,0.89406,0.8604,medium
Yemen,1,2.18,223,0.67327,0.73267,0.13861,0.75248,0.055,0.409,0.088,13,1653,0.49703,0.29703,awful
Zambia,1,2.94,10095,0.35644,0.89109,0.31683,0.67327,0.054,0.514,0.447,11,1013,0.79802,0.74059,awful
Zimbabwe,1,1.28,1584,0.73267,0.9901,0.50495,0.68317,0.079,0.359,0.068,14,1588,0.89802,0.86337,high
